PortfolioId;Date;Security;ISIN;Bloomberg;SecurityCcy;Quantity;Price;ValueSecurityCcy;ValueAccountCcy;AccountCcy;AccruedInterest
0000180491Q;02/03/2023;;;;;0.00000;0.00000;0.00;0;CHF;0.00
0000180491Q;02/03/2023;;;;;0.00000;0.00000;0.00;277807.51;EUR;0.00
0000180491Q;02/03/2023;;;;;0.00000;0.00000;0.00;0;GBP;0.00
0000180491Q;02/03/2023;;;;;0.00000;0.00000;0.00;0;JPY;0.00
0000180491Q;02/03/2023;;;;;0.00000;0.00000;0.00;0;NOK;0.00
0000180491Q;02/03/2023;;;;;0.00000;0.00000;0.00;0;SEK;0.00
0000180491Q;02/03/2023;;;;;0.00000;0.00000;0.00;306.97;USD;0.00
0000180491Q;02/03/2023;ORTALGOS INVESTISSEMENT;FR0000296774;;EUR;11.00000;4894.19000;53836.09;53836.09;EUR;0.00
0000180491Q;02/03/2023;ORTALGOS INVESTISSEMENT;FR0000296774;;EUR;11.00000;4894.19000;53836.09;53836.09;EUR;0.00
0000180491Q;02/03/2023;ORTALGOS SIDE POCKET;FR0010900043;;EUR;11.00000;0.01000;0.11;0.11;EUR;0.00
0000180491Q;02/03/2023;ORTALGOS SIDE POCKET;FR0010900043;;EUR;11.00000;0.01000;0.11;0.11;EUR;0.00
0000180491Q;02/03/2023;MONTJOIE INVESTISSEMENTS FIA;FR0012117471;;EUR;170.00000;1248.07000;212171.90;212171.9;EUR;0.00
0000180491Q;02/03/2023;MONTJOIE INVESTISSEMENTS FIA;FR0012117471;;EUR;170.00000;1248.07000;212171.90;212171.9;EUR;0.00
0000180491Q;02/03/2023;MONTJOLY INVESTISSEMENTS;LU1473434931;RMOINBE LX Equity;EUR;170.00000;3618.12000;615080.40;615080.4;EUR;0.00
0000180491Q;02/03/2023;MONTJOLY INVESTISSEMENTS;LU1473434931;RMOINBE LX Equity;EUR;170.00000;3618.12000;615080.40;615080.4;EUR;0.00
0000180491Q;02/03/2023;MASSENA CREDIT II (INDIGO) - A1;FR0013352804;;EUR;500.00000;846.59000;423295.00;423295;EUR;0.00
0000180491Q;02/03/2023;FIVE ARROWS PRINCIPAL INVESTMENTS III;FR0013355401;;EUR;8000.00000;95.37100;762968.00;762968;EUR;0.00
0000180491Q;02/03/2023;ACTIONS ENERGIE RENDEMENT;FR0013459849;ZQ707104@NXED Corp;EUR;610000.00000;111.99000;683139.00;683139;EUR;0.00
0000180491Q;02/03/2023;LISTED PRIVATE EQUITY;FR001400AZZ3;BX096675@NXED Corp;EUR;590000.00000;114.63000;676317.00;676317;EUR;0.00
0000180491Q;02/03/2023;LUXALPHA SICAV AMERICAN SELECTION B;LU0185941027;;EUR;3007.00000;0.00000;0.00;0;EUR;0.00
0000180491Q;02/03/2023;LUXALPHA SICAV AMERICAN SELECTION B;LU0185941027;;EUR;3007.00000;0.00000;0.00;0;EUR;0.00
0000180491Q;02/03/2023;REAL ESTATE OPP. FD I LP;LU1311586298;;EUR;2500000.00000;0.34000;850000.00;850000;EUR;0.00
0000180491Q;02/03/2023;MASSENA OPPORTUNITY MILLESIME 1-A;LU1438278951;;EUR;650000.00000;0.15000;97500.00;97500;EUR;0.00
0000180491Q;02/03/2023;ESSLING CO-INVEST 2 - A2;LU1697836242;;EUR;1301798.91000;0.76000;989367.17;989367.17;EUR;0.00
0000180491Q;02/03/2023;GLOBAL EQUITY FLEX (ATHYMIS GESTION);LU1815010902;PARGEBR LX Equity;EUR;2920.60800;1243.26000;3631075.10;3631075.1;EUR;0.00
0000180491Q;02/03/2023;SPAIN RECOVERY FIAR - A;LU1923735655;;EUR;6500.00000;68.83000;447395.00;447395;EUR;0.00
